TIMESTAMP|TEMPERATUR_C|LUFTFEUCHTE_PERCENT|DRUCK_HPA
2026-02-21T06:41:33|20.25|32.55|1004.98
2026-02-21T06:46:33|20.26|32.55|1005.02
2026-02-21T06:51:33|20.26|32.59|1004.96
2026-02-21T06:56:33|20.26|32.59|1005.05
2026-02-21T07:01:33|20.25|32.64|1005.03
2026-02-21T07:06:34|20.24|32.69|1005.18
2026-02-21T07:11:34|20.2|33.2|1005.16
2026-02-21T07:16:34|20.12|33.31|1005.23
2026-02-21T07:21:34|20.09|33.4|1005.34
2026-02-21T07:26:35|20.1|33.37|1005.25
2026-02-21T07:31:35|20.16|33.18|1005.34
2026-02-21T07:36:35|20.21|33.04|1005.42
2026-02-21T07:41:35|20.25|32.93|1005.44
2026-02-21T07:46:35|20.29|32.89|1005.53
2026-02-21T07:51:36|20.32|32.82|1005.65
2026-02-21T07:56:36|20.33|32.74|1005.73
2026-02-21T08:01:36|20.34|32.75|1005.74
2026-02-21T08:06:36|20.3|32.97|1005.86
2026-02-21T08:11:36|20.35|32.85|1005.95
2026-02-21T08:16:37|20.43|32.7|1006.02
2026-02-21T08:21:37|20.48|32.63|1006.0
2026-02-21T08:26:37|20.51|32.8|1006.05
2026-02-21T08:31:37|20.53|32.83|1006.16
2026-02-21T08:36:38|20.53|32.86|1006.19
2026-02-21T08:41:38|20.52|32.73|1006.33
2026-02-21T08:46:38|20.48|32.77|1006.35
2026-02-21T08:51:38|20.45|32.78|1006.33
2026-02-21T08:56:38|20.41|32.91|1006.42
2026-02-21T09:01:39|20.38|32.97|1006.55
2026-02-21T09:06:39|20.32|32.56|1006.46
2026-02-21T09:11:39|20.29|32.76|1006.55
2026-02-21T09:16:39|20.33|32.94|1006.56
2026-02-21T09:21:40|20.38|32.99|1006.66
2026-02-21T09:25:22|20.4|33.07|1006.72
2026-02-21T09:30:35|20.46|33.04|1006.71
2026-02-21T09:32:50|20.5|33.12|1006.78
2026-02-21T09:39:07|20.47|33.18|1006.79
2026-02-21T09:44:07|20.45|33.24|1006.8
2026-02-21T09:49:08|20.41|33.24|1006.84
2026-02-21T09:54:08|20.34|33.72|1006.82
2026-02-21T09:59:08|20.34|33.29|1006.86
2026-02-21T10:04:08|20.31|33.31|1006.74
